Iteration 198, Temperature 36.90, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 191.12 seconds
Iteration 199, Temperature 35.05, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 192.09 seconds
Iteration 200, Temperature 33.30, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 193.23 seconds
Iteration 201, Temperature 31.64, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 194.27 seconds
Iteration 202, Temperature 30.05, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 195.23 seconds
Iteration 203, Temperature 28.55, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 196.18 seconds
Iteration 204, Temperature 27.12, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 197.12 seconds
Iteration 205, Temperature 25.77, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 198.07 seconds
Iteration 206, Temperature 24.48, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 199.01 seconds
Iteration 207, Temperature 23.25, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 199.96 seconds
Iteration 208, Temperature 22.09, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 200.91 seconds
Iteration 209, Temperature 20.99, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 201.86 seconds
Iteration 210, Temperature 19.94, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 202.81 seconds
Iteration 211, Temperature 18.94, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 203.76 seconds
Iteration 212, Temperature 17.99, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 204.71 seconds
Iteration 213, Temperature 17.09, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 205.67 seconds
Iteration 214, Temperature 16.24, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 206.62 seconds
Iteration 215, Temperature 15.43, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 207.58 seconds
Iteration 216, Temperature 14.66, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 208.53 seconds
Iteration 217, Temperature 13.92, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 209.48 seconds
Iteration 218, Temperature 13.23, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 210.43 seconds
Iteration 219, Temperature 12.57, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 211.37 seconds
Iteration 220, Temperature 11.94, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 212.33 seconds
Iteration 221, Temperature 11.34, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 213.29 seconds
Iteration 222, Temperature 10.77, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 214.24 seconds
Iteration 223, Temperature 10.23, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 215.19 seconds
Iteration 224, Temperature 9.72, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 216.14 seconds
Iteration 225, Temperature 9.24, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 217.08 seconds
Iteration 226, Temperature 8.78, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 218.03 seconds
Iteration 227, Temperature 8.34, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 218.98 seconds
Iteration 228, Temperature 7.92, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 219.93 seconds
Iteration 229, Temperature 7.52, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 220.88 seconds
Iteration 230, Temperature 7.15, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 221.84 seconds
Iteration 231, Temperature 6.79, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 222.79 seconds
Iteration 232, Temperature 6.45, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 223.76 seconds
Iteration 233, Temperature 6.13, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 224.89 seconds
Iteration 234, Temperature 5.82, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 225.85 seconds
Iteration 235, Temperature 5.53, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 226.86 seconds
Iteration 236, Temperature 5.25, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 227.82 seconds
Iteration 237, Temperature 4.99, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 228.77 seconds
Iteration 238, Temperature 4.74, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 229.72 seconds
Iteration 239, Temperature 4.50, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 230.68 seconds
Iteration 240, Temperature 4.28, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 231.63 seconds
Iteration 241, Temperature 4.07, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 232.58 seconds
Iteration 242, Temperature 3.86, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 233.53 seconds
Iteration 243, Temperature 3.67, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 234.49 seconds
Iteration 244, Temperature 3.49, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 235.45 seconds
Iteration 245, Temperature 3.31, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 236.40 seconds
Iteration 246, Temperature 3.15, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 237.37 seconds
