Iteration 86, Temperature 2085604.40, New Cost 55341486.0, Current Cost 55341486.00, Best Cost 41395607.00, Elapsed Time 88.52 seconds
Iteration 87, Temperature 2064748.36, New Cost 56341486.0, Current Cost 55341486.00, Best Cost 41395607.00, Elapsed Time 89.58 seconds
Iteration 88, Temperature 2044100.87, New Cost 56341486.0, Current Cost 56341486.00, Best Cost 41395607.00, Elapsed Time 90.67 seconds
Iteration 89, Temperature 2023659.86, New Cost 57341486.0, Current Cost 57341486.00, Best Cost 41395607.00, Elapsed Time 91.74 seconds
Iteration 90, Temperature 2003423.26, New Cost 58341486.0, Current Cost 58341486.00, Best Cost 41395607.00, Elapsed Time 92.79 seconds
Iteration 91, Temperature 1983389.03, New Cost 59341486.0, Current Cost 58341486.00, Best Cost 41395607.00, Elapsed Time 93.87 seconds
Iteration 92, Temperature 1963555.14, New Cost 59341486.0, Current Cost 59341486.00, Best Cost 41395607.00, Elapsed Time 94.97 seconds
Iteration 93, Temperature 1943919.59, New Cost 58341486.0, Current Cost 58341486.00, Best Cost 41395607.00, Elapsed Time 96.03 seconds
Iteration 94, Temperature 1924480.39, New Cost 57341486.0, Current Cost 57341486.00, Best Cost 41395607.00, Elapsed Time 97.09 seconds
Iteration 95, Temperature 1905235.59, New Cost 58341486.0, Current Cost 58341486.00, Best Cost 41395607.00, Elapsed Time 98.17 seconds
Iteration 96, Temperature 1886183.23, New Cost 57661000.0, Current Cost 57661000.00, Best Cost 41395607.00, Elapsed Time 99.25 seconds
Iteration 97, Temperature 1867321.40, New Cost 56661000.0, Current Cost 56661000.00, Best Cost 41395607.00, Elapsed Time 100.29 seconds
Iteration 98, Temperature 1848648.19, New Cost 57661000.0, Current Cost 56661000.00, Best Cost 41395607.00, Elapsed Time 101.34 seconds
Iteration 99, Temperature 1830161.71, New Cost 57592457.0, Current Cost 57592457.00, Best Cost 41395607.00, Elapsed Time 102.40 seconds
Iteration 100, Temperature 1811860.09, New Cost 56592457.0, Current Cost 56592457.00, Best Cost 41395607.00, Elapsed Time 103.45 seconds
Iteration 101, Temperature 1793741.49, New Cost 55592457.0, Current Cost 55592457.00, Best Cost 41395607.00, Elapsed Time 104.57 seconds
Iteration 102, Temperature 1775804.07, New Cost 56592457.0, Current Cost 56592457.00, Best Cost 41395607.00, Elapsed Time 105.66 seconds
Iteration 103, Temperature 1758046.03, New Cost 55592457.0, Current Cost 55592457.00, Best Cost 41395607.00, Elapsed Time 106.73 seconds
Iteration 104, Temperature 1740465.57, New Cost 56592457.0, Current Cost 56592457.00, Best Cost 41395607.00, Elapsed Time 107.79 seconds
Iteration 105, Temperature 1723060.92, New Cost 55690832.0, Current Cost 55690832.00, Best Cost 41395607.00, Elapsed Time 108.84 seconds
Iteration 106, Temperature 1705830.31, New Cost 56690832.0, Current Cost 56690832.00, Best Cost 41395607.00, Elapsed Time 109.90 seconds
Iteration 107, Temperature 1688772.00, New Cost 57690832.0, Current Cost 57690832.00, Best Cost 41395607.00, Elapsed Time 110.95 seconds
Iteration 108, Temperature 1671884.28, New Cost 58690832.0, Current Cost 57690832.00, Best Cost 41395607.00, Elapsed Time 112.02 seconds
Iteration 109, Temperature 1655165.44, New Cost 58690832.0, Current Cost 57690832.00, Best Cost 41395607.00, Elapsed Time 113.08 seconds
Iteration 110, Temperature 1638613.79, New Cost 56690832.0, Current Cost 56690832.00, Best Cost 41395607.00, Elapsed Time 114.13 seconds
Iteration 111, Temperature 1622227.65, New Cost 55690832.0, Current Cost 55690832.00, Best Cost 41395607.00, Elapsed Time 115.19 seconds
Iteration 112, Temperature 1606005.37, New Cost 56690832.0, Current Cost 55690832.00, Best Cost 41395607.00, Elapsed Time 116.24 seconds
Iteration 113, Temperature 1589945.32, New Cost 54690832.0, Current Cost 54690832.00, Best Cost 41395607.00, Elapsed Time 117.33 seconds
Iteration 114, Temperature 1574045.87, New Cost 55690832.0, Current Cost 55690832.00, Best Cost 41395607.00, Elapsed Time 118.44 seconds
Iteration 115, Temperature 1558305.41, New Cost 56690832.0, Current Cost 56690832.00, Best Cost 41395607.00, Elapsed Time 119.54 seconds
Iteration 116, Temperature 1542722.35, New Cost 55690832.0, Current Cost 55690832.00, Best Cost 41395607.00, Elapsed Time 120.62 seconds
Iteration 117, Temperature 1527295.13, New Cost 56690832.0, Current Cost 56690832.00, Best Cost 41395607.00, Elapsed Time 121.70 seconds
