Temperature: 72341.888184, Total Cost: 50166153, Elapsed Time: 11.333751 seconds
Temperature: 70895.050420, Total Cost: 52806512, Elapsed Time: 11.415807 seconds
Temperature: 69477.149412, Total Cost: 52218733, Elapsed Time: 11.476082 seconds
Temperature: 68087.606424, Total Cost: 52069688, Elapsed Time: 11.531463 seconds
Temperature: 66725.854295, Total Cost: 50385054, Elapsed Time: 11.597468 seconds
Temperature: 65391.337209, Total Cost: 51119825, Elapsed Time: 11.695346 seconds
Temperature: 64083.510465, Total Cost: 51854380, Elapsed Time: 11.789073 seconds
Temperature: 62801.840256, Total Cost: 51801065, Elapsed Time: 11.860223 seconds
Temperature: 61545.803451, Total Cost: 53334125, Elapsed Time: 11.926965 seconds
Temperature: 60314.887382, Total Cost: 50858160, Elapsed Time: 12.003018 seconds
Temperature: 59108.589634, Total Cost: 51749047, Elapsed Time: 12.066606 seconds
Temperature: 57926.417841, Total Cost: 51804766, Elapsed Time: 12.155154 seconds
Temperature: 56767.889485, Total Cost: 50575120, Elapsed Time: 12.221581 seconds
Temperature: 55632.531695, Total Cost: 53334125, Elapsed Time: 12.284061 seconds
Temperature: 54519.881061, Total Cost: 50858160, Elapsed Time: 12.360628 seconds
Temperature: 53429.483440, Total Cost: 52416202, Elapsed Time: 12.424194 seconds
Temperature: 52360.893771, Total Cost: 49825120, Elapsed Time: 12.483622 seconds
Temperature: 51313.675896, Total Cost: 52806512, Elapsed Time: 12.581626 seconds
Temperature: 50287.402378, Total Cost: 49507646, Elapsed Time: 12.641996 seconds
Temperature: 49281.654330, Total Cost: 52573162, Elapsed Time: 12.649648 seconds
Temperature: 48296.021243, Total Cost: 50438746, Elapsed Time: 12.716084 seconds
Temperature: 47330.100819, Total Cost: 52406603, Elapsed Time: 12.780520 seconds
Temperature: 46383.498802, Total Cost: 49825120, Elapsed Time: 12.857316 seconds
Temperature: 45455.828826, Total Cost: 50957304, Elapsed Time: 12.955570 seconds
Temperature: 44546.712250, Total Cost: 50509748, Elapsed Time: 13.020903 seconds
Temperature: 43655.778005, Total Cost: 52061942, Elapsed Time: 13.092763 seconds
Temperature: 42782.662445, Total Cost: 51636573, Elapsed Time: 13.178785 seconds
Temperature: 41927.009196, Total Cost: 51784619, Elapsed Time: 13.248556 seconds
Temperature: 41088.469012, Total Cost: 49857304, Elapsed Time: 13.329518 seconds
Temperature: 40266.699632, Total Cost: 52806512, Elapsed Time: 13.404075 seconds
Temperature: 39461.365639, Total Cost: 50858160, Elapsed Time: 13.464333 seconds
Temperature: 38672.138326, Total Cost: 52406603, Elapsed Time: 13.527768 seconds
Temperature: 37898.695560, Total Cost: 52603832, Elapsed Time: 13.604473 seconds
Temperature: 37140.721648, Total Cost: 52406603, Elapsed Time: 13.676055 seconds
Temperature: 36397.907215, Total Cost: 52873162, Elapsed Time: 13.752927 seconds
Temperature: 35669.949071, Total Cost: 50509748, Elapsed Time: 13.817517 seconds
Temperature: 34956.550090, Total Cost: 51804766, Elapsed Time: 13.889350 seconds
Temperature: 34257.419088, Total Cost: 50858160, Elapsed Time: 13.956071 seconds
Temperature: 33572.270706, Total Cost: 53334125, Elapsed Time: 14.019527 seconds
Temperature: 32900.825292, Total Cost: 52603832, Elapsed Time: 14.095506 seconds
Temperature: 32242.808786, Total Cost: 52883308, Elapsed Time: 14.167643 seconds
Temperature: 31597.952610, Total Cost: 50166153, Elapsed Time: 14.178043 seconds
Temperature: 30965.993558, Total Cost: 51773162, Elapsed Time: 14.260312 seconds
Temperature: 30346.673687, Total Cost: 51749548, Elapsed Time: 14.342880 seconds
Temperature: 29739.740213, Total Cost: 53334125, Elapsed Time: 14.421203 seconds
Temperature: 29144.945409, Total Cost: 49825120, Elapsed Time: 14.497142 seconds
Temperature: 28562.046501, Total Cost: 51406135, Elapsed Time: 14.595035 seconds
Temperature: 27990.805571, Total Cost: 52073162, Elapsed Time: 14.646277 seconds
Temperature: 27430.989459, Total Cost: 50748411, Elapsed Time: 14.719731 seconds
Temperature: 26882.369670, Total Cost: 50438746, Elapsed Time: 14.802275 seconds
Temperature: 26344.722277, Total Cost: 52883308, Elapsed Time: 14.867394 seconds
Temperature: 25817.827831, Total Cost: 50575120, Elapsed Time: 14.877904 seconds
Temperature: 25301.471275, Total Cost: 52883308, Elapsed Time: 14.940419 seconds
Temperature: 24795.441849, Total Cost: 52204113, Elapsed Time: 14.950845 seconds
Temperature: 24299.533012, Total Cost: 51723162, Elapsed Time: 15.009346 seconds
Temperature: 23813.542352, Total Cost: 50448411, Elapsed Time: 15.084047 seconds
Temperature: 23337.271505, Total Cost: 50432904, Elapsed Time: 15.172578 seconds
Temperature: 22870.526075, Total Cost: 50385054, Elapsed Time: 15.247208 seconds
Temperature: 22413.115553, Total Cost: 51531001, Elapsed Time: 15.346154 seconds
Temperature: 21964.853242, Total Cost: 50742804, Elapsed Time: 15.420347 seconds
Temperature: 21525.556177, Total Cost: 51784619, Elapsed Time: 15.495402 seconds
Temperature: 21095.045054, Total Cost: 52061942, Elapsed Time: 15.576518 seconds
Temperature: 20673.144153, Total Cost: 50509748, Elapsed Time: 15.662686 seconds
Temperature: 20259.681270, Total Cost: 50438746, Elapsed Time: 15.734380 seconds
Temperature: 19854.487644, Total Cost: 52310038, Elapsed Time: 15.799194 seconds
Temperature: 19457.397891, Total Cost: 50438746, Elapsed Time: 15.868549 seconds
Temperature: 19068.249934, Total Cost: 51784619, Elapsed Time: 15.933257 seconds
Temperature: 18686.884935, Total Cost: 52883308, Elapsed Time: 16.014710 seconds
Temperature: 18313.147236, Total Cost: 50438746, Elapsed Time: 16.025092 seconds
Temperature: 17946.884292, Total Cost: 52416202, Elapsed Time: 16.089607 seconds
Temperature: 17587.946606, Total Cost: 51692002, Elapsed Time: 16.149235 seconds
Temperature: 17236.187674, Total Cost: 52416202, Elapsed Time: 16.212063 seconds
Temperature: 16891.463920, Total Cost: 52406603, Elapsed Time: 16.271704 seconds
Temperature: 16553.634642, Total Cost: 50448291, Elapsed Time: 16.348601 seconds
Temperature: 16222.561949, Total Cost: 50742804, Elapsed Time: 16.413243 seconds
Temperature: 15898.110710, Total Cost: 51723162, Elapsed Time: 16.488481 seconds
Temperature: 15580.148496, Total Cost: 51854380, Elapsed Time: 16.563119 seconds
Temperature: 15268.545526, Total Cost: 51749548, Elapsed Time: 16.634509 seconds
Temperature: 14963.174615, Total Cost: 51033405, Elapsed Time: 16.712592 seconds
Temperature: 14663.911123, Total Cost: 49507646, Elapsed Time: 16.780979 seconds
Temperature: 14370.632901, Total Cost: 50438746, Elapsed Time: 16.788733 seconds
Temperature: 14083.220243, Total Cost: 50928518, Elapsed Time: 16.852855 seconds
Temperature: 13801.555838, Total Cost: 51119825, Elapsed Time: 16.927377 seconds
Temperature: 13525.524721, Total Cost: 51773162, Elapsed Time: 17.021026 seconds
Temperature: 13255.014226, Total Cost: 51723162, Elapsed Time: 17.103614 seconds
Temperature: 12989.913942, Total Cost: 51926995, Elapsed Time: 17.178274 seconds
Temperature: 12730.115663, Total Cost: 50432904, Elapsed Time: 17.237133 seconds
Temperature: 12475.513350, Total Cost: 50166153, Elapsed Time: 17.311953 seconds
Temperature: 12226.003083, Total Cost: 51804766, Elapsed Time: 17.393788 seconds
Temperature: 11981.483021, Total Cost: 51749548, Elapsed Time: 17.460107 seconds
Temperature: 11741.853361, Total Cost: 51406135, Elapsed Time: 17.538349 seconds
Temperature: 11507.016294, Total Cost: 52432807, Elapsed Time: 17.589362 seconds
Temperature: 11276.875968, Total Cost: 51033405, Elapsed Time: 17.648413 seconds
Temperature: 11051.338448, Total Cost: 51854380, Elapsed Time: 17.717096 seconds
Temperature: 10830.311679, Total Cost: 51119825, Elapsed Time: 17.788449 seconds
Temperature: 10613.705446, Total Cost: 51749047, Elapsed Time: 17.882109 seconds
Temperature: 10401.431337, Total Cost: 51804766, Elapsed Time: 17.970781 seconds
Temperature: 10193.402710, Total Cost: 51406135, Elapsed Time: 18.037205 seconds
Temperature: 9989.534656, Total Cost: 52310038, Elapsed Time: 18.088460 seconds
Temperature: 9789.743963, Total Cost: 51842804, Elapsed Time: 18.157586 seconds
Temperature: 9593.949084, Total Cost: 51406135, Elapsed Time: 18.220675 seconds
Temperature: 9402.070102, Total Cost: 51406135, Elapsed Time: 18.272059 seconds
Temperature: 9214.028700, Total Cost: 50575120, Elapsed Time: 18.323342 seconds
Temperature: 9029.748126, Total Cost: 52416202, Elapsed Time: 18.385674 seconds
Temperature: 8849.153163, Total Cost: 51749047, Elapsed Time: 18.445224 seconds
Temperature: 8672.170100, Total Cost: 52849833, Elapsed Time: 18.533794 seconds
Temperature: 8498.726698, Total Cost: 52204113, Elapsed Time: 18.602554 seconds
Temperature: 8328.752164, Total Cost: 49507646, Elapsed Time: 18.660726 seconds
Temperature: 8162.177121, Total Cost: 50448411, Elapsed Time: 18.668377 seconds
Temperature: 7998.933578, Total Cost: 51749548, Elapsed Time: 18.757053 seconds
Temperature: 7838.954907, Total Cost: 51749548, Elapsed Time: 18.835367 seconds
Temperature: 7682.175809, Total Cost: 52873162, Elapsed Time: 18.913711 seconds
Temperature: 7528.532293, Total Cost: 50858160, Elapsed Time: 18.978402 seconds
Temperature: 7377.961647, Total Cost: 52069688, Elapsed Time: 19.044018 seconds
Temperature: 7230.402414, Total Cost: 52849833, Elapsed Time: 19.110578 seconds
Temperature: 7085.794365, Total Cost: 51773162, Elapsed Time: 19.179576 seconds
Temperature: 6944.078478, Total Cost: 52432807, Elapsed Time: 19.262341 seconds
Temperature: 6805.196909, Total Cost: 51636573, Elapsed Time: 19.321466 seconds
Temperature: 6669.092970, Total Cost: 50385054, Elapsed Time: 19.390780 seconds
Temperature: 6535.711111, Total Cost: 53334125, Elapsed Time: 19.489915 seconds
Temperature: 6404.996889, Total Cost: 50448411, Elapsed Time: 19.566406 seconds
Temperature: 6276.896951, Total Cost: 50448291, Elapsed Time: 19.654676 seconds
Temperature: 6151.359012, Total Cost: 49857304, Elapsed Time: 19.719420 seconds
Temperature: 6028.331832, Total Cost: 51773162, Elapsed Time: 19.794002 seconds
Temperature: 5907.765195, Total Cost: 51749047, Elapsed Time: 19.877627 seconds
Temperature: 5789.609891, Total Cost: 52573162, Elapsed Time: 19.966495 seconds
Temperature: 5673.817693, Total Cost: 53334125, Elapsed Time: 20.033010 seconds
Temperature: 5560.341340, Total Cost: 50748411, Elapsed Time: 20.109385 seconds
Temperature: 5449.134513, Total Cost: 50957304, Elapsed Time: 20.191498 seconds
Temperature: 5340.151822, Total Cost: 50928518, Elapsed Time: 20.256661 seconds
Temperature: 5233.348786, Total Cost: 52218733, Elapsed Time: 20.331282 seconds
Temperature: 5128.681810, Total Cost: 51842804, Elapsed Time: 20.386899 seconds
Temperature: 5026.108174, Total Cost: 51926995, Elapsed Time: 20.446923 seconds
Temperature: 4925.586011, Total Cost: 50957304, Elapsed Time: 20.505914 seconds
Temperature: 4827.074290, Total Cost: 50643768, Elapsed Time: 20.571201 seconds
Temperature: 4730.532805, Total Cost: 51531001, Elapsed Time: 20.638555 seconds
Temperature: 4635.922149, Total Cost: 50166153, Elapsed Time: 20.713086 seconds
Temperature: 4543.203706, Total Cost: 51801065, Elapsed Time: 20.795084 seconds
Temperature: 4452.339631, Total Cost: 52432807, Elapsed Time: 20.861863 seconds
Temperature: 4363.292839, Total Cost: 52849833, Elapsed Time: 20.920833 seconds
Temperature: 4276.026982, Total Cost: 52873162, Elapsed Time: 20.989677 seconds
Temperature: 4190.506442, Total Cost: 52218733, Elapsed Time: 21.053985 seconds
Temperature: 4106.696314, Total Cost: 49825120, Elapsed Time: 21.109500 seconds
Temperature: 4024.562387, Total Cost: 50928518, Elapsed Time: 21.207882 seconds
Temperature: 3944.071140, Total Cost: 51692002, Elapsed Time: 21.282320 seconds
Temperature: 3865.189717, Total Cost: 51749047, Elapsed Time: 21.345005 seconds
Temperature: 3787.885922, Total Cost: 52432807, Elapsed Time: 21.433642 seconds
Temperature: 3712.128204, Total Cost: 52849833, Elapsed Time: 21.492840 seconds
Temperature: 3637.885640, Total Cost: 50928518, Elapsed Time: 21.561371 seconds
Temperature: 3565.127927, Total Cost: 52573162, Elapsed Time: 21.635770 seconds
Temperature: 3493.825369, Total Cost: 52204113, Elapsed Time: 21.702513 seconds
Temperature: 3423.948861, Total Cost: 51749047, Elapsed Time: 21.760977 seconds
Temperature: 3355.469884, Total Cost: 50957304, Elapsed Time: 21.849616 seconds
